kra2-cont111.myrig.switch
kra2-cont111-z1-1.myrig.switch
kra2-cont111-z1-2.myrig.switch
kra2-cont111-z1-3.myrig.switch
kra2-cont111-z2-1.myrig.switch
kra2-cont111-z2-2.myrig.switch
kra2-cont111-z2-3.myrig.switch
kra2-cont111-z3-1.myrig.switch
kra2-cont111-z3-2.myrig.switch
kra2-cont111-z3-3.myrig.switch
kra2-cont111-z4-1.myrig.switch
kra2-cont111-z4-2.myrig.switch
kra2-cont111-z4-3.myrig.switch
